location,location_name,type,quantile,value,target_end_date,forecast_date,target,board_name,submission_date,horizon
GM,Germany,quantile,0.025,141355,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.05,145198,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.1,153872,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.15,162792,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.2,173470,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.25,183000,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.3,192095,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.35,203287,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.4,214956,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.45,228672,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.5,246730,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.55,263126,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.6,281955,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.65,300640,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.7,319270,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.75,343874,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.8,376587,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.85,410452,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.9,443271,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.95,487566,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.975,507621,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.99,524928,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.01,70,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.025,71,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.05,72,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.1,73,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.15,75,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.2,77,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.25,79,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.3,81,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.35,83,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.4,85,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.45,87,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
GM,Germany,quantile,0.5,89,2020-10-17,2020-10-12,1 wk ahead inc death,EpiNow2,2020-10-12,1
